LEAF_CATEG_ID,LEAF_CATEG_NAME
36003,"Collectibles:Animals:Horses: Model Horses:Breyer:Stablemates, 4 x 3 Inch"
121149,Baby:Diapering:Cloth Diapers:Fuzzi Bunz
106438,Business & Industrial:Packing & Shipping:Envelopes
116645,Crafts:Glass & Mosaics:Glass Art & Mosaic Supplies:Glass Paints
42286,Home & Garden:Tools:Power Tools:Sanders & Accessories:Orbital Sanders
11072,"Consumer Electronics:Televisions:HDTVs, Direct-View"
43510,"Home & Garden:Home Improvement:Heating, Cooling & Air:Indoor Air Quality & Fans:Air Purifiers"
20263,Collectibles:Postcards:International Cities & Towns:South America
182169,Musical Instruments & Gear:String:Accessories:Picks
171223,"Books & Magazines:Textbooks, Education & Reference:Study Guides & Test Prep"
47282,Sporting Goods:Outdoor Sports:Equestrian:Tack-English:Saddles:Dressage
41770,Everything Else:Test Auctions:Attributes:Attributes144
133009,"Musical Instruments:Pro Audio:Microphones:Wired Microphones:Recording, Condenser:Audio-Technica"
53272,Entertainment Memorabilia:Music Memorabilia:Rock & Pop:Artists P:Prince:Other Prince Memorabilia
38046,Collectibles:Tobacciana:Lighters:Zippo:Cigarettes
130,Collectibles:Transportation:Railroadiana & Trains:Other Railroadiana
1204,"Dolls & Bears:Dolls:By Brand, Company, Character:Rainbow Brite:Contemporary"
40039,Collectibles:Animals:Farm & Countryside:Cows:Posters & Prints
72862,"Health & Beauty:Nail:Nail Polish:OPI:Pink, Rose Tones"
73999,Sporting Goods:Water Sports:SCUBA & Snorkeling:Flags & Markers
27957,Sporting Goods:Golf:Irons-Individual Clubs:MacGregor
165821,Collectibles:Souvenirs & Travel Memorabilia:United States:Maine
63630,Antiques:Linens & Textiles (Pre-1930):Quilts:Crazy
3754,Computers & Networking:Drives & Storage:DVD ROM Drives:Internal (Desktop)
177898,Sporting Goods:Tactical & Duty Gear:Tactical Gloves
31691,"Sporting Goods:Fishing:Baits, Lures & Flies:Soft Plastics"
29301,Books:Education & Textbooks:College & Professional:Business & Economics
262042,Collectibles:Postcards & Supplies:Postcards:Topographical Postcards
176977,"Computers/Tablets & Networking:Tablet & eBook Reader Accs:Mounts, Stands & Holders"
183771,"Business & Industrial:Cleaning & Janitorial Supplies:Pressure Washers, Parts & Accessories:Pressure Washer Parts & Accessories:Nozzles & Nozzle Sets"
10030,Collectibles:Clocks:Parts & Tools:Machinery
87138,"Sporting Goods:Camping, Hiking, Backpacking:Cookware, Stoves:Stoves:Camp Stoves:Single Burner"
163879,Entertainment Memorabilia:Movie Memorabilia:Lobby Cards:Originals-International:Current Releases
80261,"Computers & Networking:Software:Business & Productivity:Accounting, Finance:QuickBooks:QuickBooks Professional"
