LEAF_CATEG_ID,LEAF_CATEG_NAME
6320,ecom Motors:Cars & Trucks:Mazda:626
6663,ecom Motors:Cars:Volkswagen
6435,ecom Motors:Cars & Trucks:Porsche:968
6143,ecom Motors:Cars & Trucks:Buick:Roadmaster
6175,ecom Motors:Cars & Trucks:Chrysler:300 Series
43904,ecom Motors:Cars & Trucks:Chevrolet:Tracker
6264,ecom Motors:Cars & Trucks:Infiniti:Q45
10113,ecom Motors:Sports Cars:Dodge:Stealth
6295,ecom Motors:Cars & Trucks:Land Rover:Range Rover
80904,ecom Motors:Cars:MG:MGA
6138,ecom Motors:Cars & Trucks:Buick:LeSabre
10110,ecom Motors:Sports Cars:Chrysler:Lebaron
38037,"Collectibles:Radio, Phonograph, TV, Phone:Telephones:Pre-1940"
595,Collectibles:Tobacciana:Lighters:Other
19260,"Health & Beauty:Dietary Supplements, Nutrition:Herbs & Botanicals"
11332,Sporting Goods:Outdoor Sports:Scooters:Parts & Accessories
73362,Consumer Electronics:Vehicle Electronics & GPS:GPS Accessories & Tracking:Tracking Devices
42598,ecom Motors:Powersports:Snowmobiles:Ski-Doo
80764,ecom Motors:Other Vehicles & Trailers:Commercial Trucks:Van/Box Trucks:Step Vans
63735,ecom Motors:Other Vehicles & Trailers:Commercial Trucks:Emergency & Fire Trucks
6241,ecom Motors:Passenger Vehicles:Geo
6905,ecom Motors:Trucks:Dodge:Other Pickups
6333,ecom Motors:Cars & Trucks:Mercedes-Benz:600-Series
173662,ecom Motors:Cars & Trucks:Nissan:Juke
84178,ecom Motors:Cars:Nissan:Titan
39421,ecom Motors:Trucks:Dodge:Power Wagon
158469,ecom Motors:Cars & Trucks:Infiniti:EX
6247,ecom Motors:Cars & Trucks:GMC:Suburban
6017,ecom Motors:Cars & Trucks:Toyota:Camry
6137,ecom Motors:Cars & Trucks:Buick:Grand National
84161,ecom Motors:Cars & Trucks:Mazda:Tribute
184393,ecom Motors:Cars & Trucks:Ferrari:F12 Berlinetta
6600,ecom Motors:Cars:Dodge:Neon
6283,ecom Motors:Cars & Trucks:Jeep:Renegade
10131,ecom Motors:Luxury Cars:Mazda:626
31949,ecom Motors:Sports Cars:Mercedes-Benz:SLK-Class
31892,ecom Motors:Cars:Jaguar:XJ8
6915,ecom Motors:Trucks:Mazda
180083,ecom Motors:Cars & Trucks:Peugeot:Other
6148,ecom Motors:Cars & Trucks:Cadillac:Escalade
6306,ecom Motors:Cars & Trucks:Lincoln:Other
31884,ecom Motors:Cars:DeLorean
6996,ecom Motors:Luxury Cars:Ford:Crown Victoria
6933,ecom Motors:SUVs:Isuzu
149420,ecom Motors:Cars & Trucks:Saturn:Aura
6653,ecom Motors:Cars:Renault
6637,ecom Motors:Cars:Lincoln
147905,ecom Motors:Motorcycles:Suzuki:DR-Z
184421,ecom Motors:Cars & Trucks:Toyota:86
6002,ecom Motors:Passenger Vehicles:Audi
6451,ecom Motors:Passenger Vehicles:Studebaker
119390,ecom Motors:Trucks:Dodge:Ram 3500
14241,ecom Motors:Cars:Lexus:LS
7092,ecom Motors:Sports Cars:Porsche:911
6191,ecom Motors:Passenger Vehicles:Dodge
183571,ecom Motors:Cars & Trucks:Lexus:GS200t
6171,ecom Motors:Cars & Trucks:Chevrolet:Monte Carlo
84153,ecom Motors:Cars & Trucks:Acura:TSX
6625,ecom Motors:Cars:Honda:Del Sol
80911,ecom Motors:Cars:Triumph:TR-6
178958,ecom Motors:Cars & Trucks:Infiniti:QX80
5348,ecom Motors:Cars & Trucks:Chevrolet:Other Pickups
31844,ecom Motors:Cars & Trucks:Infiniti:QX4
6624,ecom Motors:Cars:Honda:Civic
7076,ecom Motors:Sports Cars:Mazda:Miata
43886,ecom Motors:Cars:Chrysler:Newport
6173,ecom Motors:Cars & Trucks:Chevrolet:Other
170164,ecom Motors:Cars & Trucks:Suzuki:Equator
7042,ecom Motors:Sports Cars:Buick
6529,ecom Motors:Cars:Cadillac:Allante
6647,ecom Motors:Cars:Opel
6270,ecom Motors:Cars & Trucks:Isuzu:VehiCROSS
90987,ecom Motors:Trucks:Chevrolet:C/K Pickup 1500
149413,ecom Motors:Motorcycles:Suzuki:RM-Z
6971,ecom Motors:Luxury Cars:Aston Martin
162300,ecom Motors:Cars & Trucks:Jaguar:XF
179914,ecom Motors:Cars & Trucks:Saab:Sonett
6972,ecom Motors:Luxury Cars:Aston Martin
26450,ecom Motors:Parts & Accessories:Boat Parts:Accessories & Gear:Safety Gear & Devices
179516,ecom Motors:Automotive Tools & Supplies:Shop Equipment & Supplies:Shop Supplies:Body Fillers & Putties
107060,ecom Motors:Parts & Accessories:Performance & Racing Parts:Auto Performance Parts:Body & Exterior
179418,ecom Motors:Automotive Tools & Supplies:Air Tools:Air Sanders
173511,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Brakes & Brake Parts:Brake Component Kits
60203,Everything Else:Other
174093,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Steering & Suspension:Steering Columns
6758,ecom Motors:Parts & Accessories:Parts:Aircraft:Other
182263,ecom Motors:Parts & Accessories:Scooter Parts:Brakes & Brake Parts:Brake Pads
262119,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Engine Cooling Components:Fan Blades
177707,"ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Electric, Hybrid & PHEV Specific Parts:Conversion Kits"
173863,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Air Conditioning & Heating:HVAC Temperature Sensors
33547,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Air Conditioning & Heating:A/C Evaporators
183539,ecom Motors:Parts & Accessories:Motorcycle Accessories:Weather Protection:Other Weather Protection
6754,ecom Motors:Parts & Accessories:Tools:Other Tools
6777,ecom Motors:Parts & Accessories:Car & Truck:Lighting & Lamps:Other
173655,ecom Motors:Parts & Accessories:Performance & Racing Parts:Auto Performance Parts:Exhaust:Collector Mufflers
263346,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Engines & Engine Parts:Valvetrain Components:Push Rods
175593,ecom Motors:Parts & Accessories:Performance & Racing Parts:Drag Racing Parts:Exhibition
182259,ecom Motors:Parts & Accessories:Scooter Parts:Brakes & Brake Parts:Brake Cylinders
10064,ecom Motors:Parts & Accessories:Motorcycle Parts:Other Motorcycle Parts
177114,"ecom Motors:Parts & Accessories:Apparel, Protective Gear & Merchandise:Motorcycle & Powersports Gear:Boot & Shoe Parts & Spares"
263149,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Guards & Protection:Fork Guards & Covers
35612,ecom Motors:Parts & Accessories:Motorcycle Parts:British & European:Body & Frame:Seats
263226,ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Electrical & Ignition Components:Ignition Kits
169445,ecom Motors:Parts & Accessories:Car Electronics:Car Video:Car Video Units With GPS/Nav
33743,"ecom Motors:Parts & Accessories:Car & Truck:Wheels, Tires & Parts"
43975,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Body & Frame:Decals & Vinyls"
174078,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Interior Parts & Accessories:Parking Brake Levers
140742,ecom Motors:Parts & Accessories:Vintage Car & Truck Parts:Lighting & Lamps:Turn Signals
174087,ecom Motors:Parts & Accessories:Car & Truck Parts & Accessories:Engines & Engine Parts:Service Kits
31283,ecom Motors:Parts & Accessories:Boat Parts:Controls & Steering
175564,ecom Motors:Parts & Accessories:Performance & Racing Parts:Auto Performance Parts:Engine & Components:Gaskets & Seals
21669,"ecom Motors:Parts & Accessories:Motorcycle & Scooter Parts & Accessories:Wheels, Tires & Parts:Other Wheel & Tire Parts"
263356,"ecom Motors:Parts & Accessories:ATV, Side-by-Side & UTV Parts & Accessories:Air Intake & Fuel Delivery:Carburetor Parts"
156331,Antiques:Sewing (Pre-1930):Other
3668,Computers/Tablets & Networking:Cables & Connectors:Other
90995,ecom Motors:Trucks:GMC:Sierra 3500
158477,ecom Motors:Cars & Trucks:Saturn:Astra
13479,ecom Motors:MiniVans & Vans:Oldsmobile
6416,ecom Motors:Cars & Trucks:Plymouth:Sundance
0,Unknown
6804,ecom Motors:Cars:Mercedes-Benz:C-Class
179893,ecom Motors:Cars & Trucks:Jaguar:XK8
31915,ecom Motors:Cars:Subaru:SVX
6491,ecom Motors:Cars:Audi:TT
6848,ecom Motors:Cars:Pontiac:Grand Prix
10144,ecom Motors:Sports Cars:Nissan:300ZX
119388,ecom Motors:SUVs:Volvo:XC90
6582,ecom Motors:Cars:Infiniti:Other
6836,ecom Motors:Cars:Plymouth:Duster
170138,ecom Motors:Cars & Trucks:Audi:Q5
6983,ecom Motors:Luxury Cars:Buick:Riviera
159593,ecom Motors:Motorcycles:Hyosung
6013,ecom Motors:Passenger Vehicles:Porsche
10119,ecom Motors:Sports Cars:Honda:Del Sol
